id,session_dialog,session_persona
K2-10540-CL12939-CP35150-09-05-S2.json,"['안녕, 잘 지냈어? 2일만이네.', '응, 혹시 반려동물을 키워? 요즘 유기견이 많더라.', '대단하네. 나도 가끔 외로워서 반려동물을 키워보고 싶은데, 유기견을 입양해볼까 고민이 많아.', '맞아. 유기견 봉사활동 같은 것도 많은 것 같아. 나중에 기회가 되면 한번 가봐야겠어.', '요즘 밴드나 알아볼 수 있는 방법들이 많다고 들었어.  찾아보면 될 것 같아.', '맞아, 혼자 가서 할 수 있는 일도 아니야. 한번 알아봐.', '아니, 나도 관심은 있는데, 키우기는 조금 부담이 돼.']","['나는 가끔 외로워서 반려동물을 키워보고 싶다. 나는 유기견 입양에 대해 고민하고 있다.', '나는 반려동물에 관심이 있다. 나는 반려동물을 키우기에 부담이 된다.']"
K2-34114-CL01643-CP00208-06-18-S2.json,"['안녕. 20대 여자야. 반가워.', '아니, 나는 무교야. 너는?', '어떤 일을 하는데 주말에도 일을 해?', '그렇구나. 고생하네. 나는 펀드매니저야. 이번 주말은 편히 쉬고 있어.', '부럽네. 일이 힘들지만 요즘은 그래도 가끔 기쁜일이 생기네.', '일이 있다기 보다는 기분이 좋아지려고 좋아하는 음식들로 기분을 풀곤해.', '딤섬을 좋아해. 그래서 오늘도 딤섬을 먹을 예정이야. 너는 점심 뭐 먹을래?', '안전운전해. 연락해줘.']","['나는 종교가 없다.', '나는 펀드매니저이다.', '나는 좋아하는 음식으로 기분을 푼다.']"
K2-33618-CL20065-CP22132-16-13-S2.json,"['며칠이 지났는지 날짜도 모르겠네. 일주일이 지났어?', '시간이 너무 빨리 가. 잘 지냈어?', '와 콘서트에 맛집이라니 너무 좋으셨겠다!', '그랬구나. 그나저나 혹시 기미에 좋은 화장품 좀 알아?', '고마워. 선배와 후배들에게 사줘야겠네. 생일이라고 들어서.', '그렇지. 이럴 때 보면 사회생활이 쉽지는 않네.', '맞아, 그럼 추천 고마워. 내가 또 연락할게.']",['나는 선후배와 잘 어울리지 않는다.']
K2-19873-CL20525-CP22570-06-09-S2.json,"['응, 선생님은 준비 잘 하고 있어?', '선생님은 왜 가게 되셨는지 여쭤봐도 될까?', '멋있다! 나는 영문학과야.', '그렇기도 하고, 미국 음식을 배워보고 싶기도 해.', '많이 불안하지만, 내가 하고 싶은 일이니까.', '응, 몇 년만 더 기다려줘.', '선생님도 준비 열심히 하고, 건강이 첫번째야.']","['나는 영문학과이다.', '나는 음식을 배우기 위해 미국으로 간다.']"
K2-05407-CL01467-CP01154-14-03-S2.json,"['응, 하긴 했어. 청소하는 게 짜증나. 너는 무슨 영화를 봤어?', '아니, 나는 영화를 별로 안 좋아해.', '아 나는 위인 전기를 좋아해서 위인 전기 봐.', '네 위인 전기도 좀 보고 그래. 얼마나 훌륭한 분들이 많은데.', '아 종교가 있어? 믿음이 장난 아니네.', '아 그래? 나는 나를 믿어. 다 필요없어.', '아 괜찮아. 나는 종교가 필요없어. 지금보다 나를 더 아낄 수가 없어.', '응 예배 잘 가고 전도 하는거면 연락 안 줘도 돼.']","['나는 청소하는 게 짜증 난다.', '나는 영화를 안 좋아한다.', '나는 위인전기 좋아한다 나는 쉴 때 위인전기를 본다.', '나는 종교가 필요 없다.']"
K2-30921-CL01257-CP00998-15-03-S2.json,"['안녕, 나도 20대 남자야.', '그래? 왜 걱정이야? 얼마든지 말해줘.', '아, 그렇구나. 그럼 그럴때는 어떻게 해?', '나는 가족이랑 함께하는 시간이 많아서 가족과 시간을 보내.', '나는 따로 취미가 없어서 바이올린을 배우고싶어.', '나도 좋아. 근데 나는 역사 문화 여행에 관심이 없어.', '원래 그게 좋긴하지. 그리고 여행이 뭐든 다 좋지.', '알겠어. 그럼 식사 맛있게 하고 와.']","['나는 가족과 함께하는 시간이 많다.', '나는 바이올린을 배우고 싶다.', '나는 역사/문화 여행에 관심 없다.']"
K2-06139-CL34296-CP51985-02-02-S2.json,"['안녕, 난 30대 여성이야.', '안녕, 나는 국어교육과를 전공했고 지금은 학원 강사해. 어떤 일을 해?', '나는 승마를 하는데 내가 실외에서 승마하는 것을 좋아하거든. 어떤 운동을 해?', '여러가지 운동을 하네. 건강을 잘 챙기는거 같아. 나는 혈액형이 B형인데, 혈액형은 어떻게 돼?', '응, 나는 몇 번 해본 적이 있어. 어렸을 때 헌혈하고 영화도 보고 좋았어.', '나는 피자나 파스타를 좋아해. 아, 중식도 좋아하네.', '맞아. 내가 먹는 걸 좋아해서 요즘 행복해.', '안녕, 그럼 또 연락할게.']","['나는 국어교육과를 전공했고 학원 강사 일을 하고 있다.', '나는 실외에서 승마하는 것을 좋아한다.', '나는 혈액형이 B 형이다.', '나는 헌혈을 어릴 적에 한 적이 있다.', '나는 피자나 파스타를 좋아한다. 나는 중식도 좋아한다.']"
K2-09442-CL20672-CP22557-16-12-S2.json,"['안녕, 나는 같은 20대이고 여자야.', '나는 사무직에 종사하는데, 자기계발서를 꾸준히 읽으면서 이직을 준비하고 있어.', '내 취업에 대해 어머니와 갈등이 있어서 빨리 취업한 것 뿐이야. 하지만 적성에 맞지 않아서 이직을 준비하고 있어.', '대학생 때는 놀아야 하지 않아? 어디 놀러가고 그러지는 않아?', '사진은 추억이야. 사진을 볼 때마다 첫사랑이 생각나는데, 헤어졌을 때 얼마나 슬펐는지...', '응, 방을 정리하다가 발견했어.', '맞아. 나도 아직까지 못 잊는 거 보면 그렇네.']","['나는 사무직에 종사하지만 자기 계발서를 꾸준히 읽으며 이직 준비 중이다.', '나는 어머니와 갈등에 빨리 취업했다.']"
K2-03246-CL20508-CP22333-10-08-S2.json,"['안녕? 나는 20대 여자야. 내 직업은 영양사야.', '나는 종교 여행을 좋아하는데 다음에 체험 여행 갈 곳을 알아보려고.', '오늘 오후에는 뭐 할 거야?', '그렇군. 나는 재즈 음악을 싫어하는데 친구가 같이 재즈 음악 카페에 가자고 해서 가려고.', '나는 주말에 친구를 만나려고.', '나는 아직 안먹었어. 너는?', '그렇군. 나는 카스테라랑 야채 고로케를 먹을게.', '나도 마침 가봐야 했는데 잘 됐다.', '응. 그렇게 하자. 좋은 하루 보내.']","['나는 영양사이다.', '나는 종교 여행을 좋아한다.', '나는 재즈 음악을 싫어한다.']"
K2-21730-CL20482-CP20869-10-07-S2.json,"['일어났어! 부전공인 국사학 과제라서 열심히 해야돼.', '국사학은 자신있어서 괜찮아. 필라테스를 한지 3개월 됐어.', '그렇긴 한데 요즘은 남자들도 많이 해. 난 직접 운동하는게 좋아.', '응, 잘 안봐. 캐나다 어학 연수를 가도 프리미어리그는 볼 수 있겠네.', '한국에 있는 동안 할 수 있는 것을 많이 해. 이왕이면 어머니와의 갈등도 풀고 가면 좋잖아.', '잘할수 있을거야. 아니면 문자부터 해보자.', '응, 통화하면서 잘 풀어봐. 또 연락해.']","['나는 국사학이 부전공이다.', '나는 필라테스를 한 지 3개월이 됐다.', '나는 운동을 좋아한다.', '나는 스포츠 경기를 안 본다.']"
